IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
59.3.3.161,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,56,31.77
103.44.255.81,443,443,TRUE,HKG,Asia Pacific,HK,Hong Kong,46,28.65
91.239.148.100,443,443,TRUE,TXL,Europe,DE,Berlin,161,25.12
212.41.15.119,443,443,TRUE,DME,Europe,RU,Moscow,145,21.84
138.2.84.189,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,83,21.54
13.49.44.50,443,443,TRUE,AMS,Europe,NL,Amsterdam,166,19.78
91.149.239.62,443,443,TRUE,LAX,North America,US,Los Angeles,173,19.45
43.153.103.203,443,443,TRUE,SJC,North America,US,San Jose,163,18.53
13.38.75.8,443,443,TRUE,CDG,Europe,FR,Paris,177,18.4
207.2.120.16,443,443,TRUE,SJC,North America,US,San Jose,157,18.19
129.146.46.164,443,443,TRUE,LAX,North America,US,Los Angeles,227,17.48
138.2.66.92,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,85,16.94
35.201.203.106,443,443,TRUE,TPE,Asia Pacific,TW,Taipei,178,16.78
13.60.167.61,443,443,TRUE,AMS,Europe,NL,Amsterdam,153,16.01
141.147.73.148,443,443,TRUE,LHR,Europe,GB,London,207,15.24
4.230.9.53,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,120,14.79
5.255.112.197,443,443,TRUE,AMS,Europe,NL,Amsterdam,168,14.61
91.149.239.64,443,443,TRUE,LAX,North America,US,Los Angeles,218,14.31
20.41.104.196,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,112,14.24
34.123.83.237,443,443,TRUE,ORD,North America,US,Chicago,229,13.97
185.151.243.200,443,443,TRUE,LED,Europe,RU,Saint Petersburg,137,13.94
3.109.185.221,443,443,TRUE,BOM,Asia Pacific,IN,Mumbai,139,13.58
13.235.134.41,443,443,TRUE,BOM,Asia Pacific,IN,Mumbai,141,13.46
