IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
8.210.197.232,443,443,TRUE,HKG,Asia Pacific,HK,Hong Kong,52,7.75
141.105.70.114,443,443,TRUE,WAW,Europe,PL,Warsaw,154,5.77
154.26.185.39,443,443,TRUE,LAX,North America,US,Los Angeles,162,5.71
129.154.59.39,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,199,5.18
185.151.243.200,443,443,TRUE,LED,Europe,RU,Saint Petersburg,258,4.59
158.101.209.76,443,443,TRUE,AMS,Europe,NL,Amsterdam,316,4.51
35.201.203.106,443,443,TRUE,TPE,Asia Pacific,TW,Taipei,207,4.42
64.110.73.44,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,113,4.3
13.60.234.103,443,443,TRUE,AMS,Europe,NL,Amsterdam,165,4.25
38.207.132.219,27013,443,TRUE,HKG,Asia Pacific,HK,Hong Kong,129,7.55
103.44.255.81,443,443,TRUE,HKG,Asia Pacific,HK,Hong Kong,45,5.5
54.65.107.240,443,443,TRUE,NRT,Asia Pacific,JP,Tokyo,64,5.79
47.91.18.127,443,443,TRUE,NRT,Asia Pacific,JP,Tokyo,66,4.23
131.186.19.194,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,190,4.6
