IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
140.238.28.86,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,79,8.15
146.56.43.53,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,76,7.3
43.153.80.208,443,443,TRUE,SJC,North America,US,San Jose,238,6.61
103.137.63.2,443,443,TRUE,KHH,Asia Pacific,TW,Kaohsiung City,103,6.57
91.149.239.252,443,443,TRUE,LAX,North America,US,Los Angeles,197,6.02
91.149.239.62,443,443,TRUE,LAX,North America,US,Los Angeles,192,5.8
210.186.12.244,443,443,TRUE,KUL,Asia Pacific,MY,Kuala Lumpur,119,5.41
152.70.155.147,443,443,TRUE,LAX,North America,US,Los Angeles,226,5.4
43.153.103.203,443,443,TRUE,SJC,North America,US,San Jose,171,4.79
13.53.75.190,443,443,TRUE,AMS,Europe,NL,Amsterdam,243,4.66
141.105.70.114,443,443,TRUE,WAW,Europe,PL,Warsaw,126,4.54
31.129.48.139,443,443,TRUE,LED,Europe,RU,Saint Petersburg,256,4.29
141.147.19.98,443,443,TRUE,FRA,Europe,DE,Frankfurt,280,4.08
