IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
47.91.18.127,443,443,TRUE,NRT,Asia Pacific,JP,Tokyo,66,26.54
13.61.26.231,443,443,TRUE,AMS,Europe,NL,Amsterdam,157,17.77
15.236.209.130,443,443,TRUE,AMS,Europe,NL,Amsterdam,212,17.52
13.53.126.40,443,443,TRUE,AMS,Europe,NL,Amsterdam,213,16.02
154.9.249.242,443,443,TRUE,LAX,North America,US,Los Angeles,231,15.16
4.255.56.137,443,443,TRUE,IAD,North America,US,Ashburn,267,14.95
18.159.149.255,443,443,TRUE,FRA,Europe,DE,Frankfurt,206,14.31
18.184.55.249,443,443,TRUE,FRA,Europe,DE,Frankfurt,201,13.69
13.250.14.76,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,183,13.43
13.60.255.177,443,443,TRUE,AMS,Europe,NL,Amsterdam,183,13.09
8.219.79.88,443,443,TRUE,IAD,North America,US,Ashburn,79,12.53
3.125.206.2,443,443,TRUE,FRA,Europe,DE,Frankfurt,143,12.45
35.159.161.248,443,443,TRUE,FRA,Europe,DE,Frankfurt,154,12.45
51.44.113.88,443,443,TRUE,CDG,Europe,FR,Paris,158,11.97
13.215.250.30,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,188,11.93
18.199.219.34,443,443,TRUE,FRA,Europe,DE,Frankfurt,156,11.65
3.78.187.212,443,443,TRUE,FRA,Europe,DE,Frankfurt,171,11.49
13.53.37.210,443,443,TRUE,AMS,Europe,NL,Amsterdam,156,11.45
13.48.31.252,443,443,TRUE,AMS,Europe,NL,Amsterdam,220,11.01
38.180.48.228,443,443,TRUE,FRA,Europe,DE,Frankfurt,170,10.55
13.53.34.37,443,443,TRUE,AMS,Europe,NL,Amsterdam,177,10.25
35.181.77.67,443,443,TRUE,CDG,Europe,FR,Paris,181,10.15
154.31.157.12,443,443,TRUE,LAX,North America,US,Los Angeles,181,10.14
104.255.69.3,443,443,TRUE,AMS,Europe,NL,Amsterdam,167,10.05
38.207.132.219,27061,443,TRUE,HKG,Asia Pacific,HK,Hong Kong,55,16.54
52.141.25.42,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,114,15.9
52.231.97.210,2053,443,TRUE,ICN,Asia Pacific,KR,Seoul,148,15.16
20.41.104.196,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,119,14.14
